s__Bacteroides_dorei_read000937|100	UniRef90_A6L075|1452	93.1	29	2	0	14	100	1	29	1.4e-08	54.7
s__Bacteroides_dorei_read000937|100	UniRef90_F0R3F9|1452	58.6	29	12	0	14	100	1	29	1.0e-03	38.5
s__Bacteroides_dorei_read002959|100	UniRef90_D5GXM0|612	59.4	32	13	0	2	97	171	202	1.0e-03	38.5
s__Bacteroides_dorei_read002959|100	UniRef90_D8GLF6|612	73.9	23	6	0	2	70	161	183	2.3e-03	37.4
s__Bacteroides_dorei_read002959|100	UniRef90_A6L0H3|594	70.8	24	7	0	2	73	173	196	2.3e-03	37.4
s__Bacteroides_dorei_read002959|100	UniRef90_C9XMA1|555	62.5	24	9	0	2	73	161	184	5.2e-03	36.2
s__Bacteroides_dorei_read002959|100	UniRef90_A6LYY3|612	65.2	23	8	0	2	70	161	183	6.7e-03	35.8
s__Bacteroides_dorei_read002959|100	UniRef90_D6DGT9|612	65.2	23	8	0	2	70	165	187	1.1e-02	35.0
s__Bacteroides_dorei_read002959|100	UniRef90_R9BV13|600	65.2	23	8	0	2	70	161	183	3.3e-02	33.5
s__Bacteroides_dorei_read002959|100	UniRef90_D4KEK9|633	60.9	23	9	0	2	70	171	193	7.4e-02	32.3
s__Bacteroides_dorei_read002959|100	UniRef90_K1GZE2|507	52.4	21	10	0	2	64	146	166	1.7e-01	31.2
s__Bacteroides_dorei_read003752|100	UniRef90_V8BNU9|843	69.7	33	10	0	100	2	85	117	2.0e-07	50.8
s__Bacteroides_dorei_read003752|100	UniRef90_C9Q098|837	69.7	33	10	0	100	2	85	117	4.5e-07	49.7
s__Bacteroides_dorei_read003752|100	UniRef90_J6HPU6|855	60.6	33	13	0	100	2	85	117	8.5e-06	45.4
s__Bacteroides_dorei_read003752|100	UniRef90_F0R2X0|843	60.6	33	13	0	100	2	85	117	1.4e-05	44.7
s__Bacteroides_dorei_read003752|100	UniRef90_C7XQI1|843	57.6	33	14	0	100	2	86	118	3.2e-05	43.5
s__Bacteroides_dorei_read003752|100	UniRef90_B2UN07|846	57.6	33	14	0	100	2	86	118	3.2e-05	43.5
s__Bacteroides_dorei_read003752|100	UniRef90_F4BQU6|849	51.5	33	16	0	100	2	86	118	5.5e-05	42.7
s__Bacteroides_dorei_read003752|100	UniRef90_C7M5E1|840	57.6	33	14	0	100	2	85	117	5.5e-05	42.7
